position,bestmove
6k1/pp3p1p/1qp3p1/8/8/2bB1Q1P/Pr3PP1/4R1K1 w - - 0 23,"['d3c4',]"
r4r2/4bpkp/p4npN/3bB3/7Q/Pq1B1P1P/6P1/R6K w - - 3 27,"['h6f5',]"
r1b2rk1/p4qbp/1pR2pp1/8/2pBPP2/1P3Q1P/P1B3P1/5RK1 b - - 1 23,"['f7d7',]"
5r1k/ppp1q2p/8/3Bn3/4Q1n1/2N3K1/PPP2PP1/R4R2 b - - 0 21,"['e7g7',]"
r5k1/5pp1/p3qb1p/1pp5/8/P1N1PQ2/1P1r1PPP/3R2K1 w - - 0 25,"['f3a8',]"
2rn2k1/p2bRppp/8/3B2N1/8/8/P4PPP/2R3K1 b - - 0 24,"['c8c1',]"
5rk1/p4ppp/1p6/1Qb1P3/8/P4N2/1Pq2PPP/4R1K1 b - - 2 28,"['c5f2',]"
6k1/1p4pp/p3N3/2b1r3/8/2P5/PP2n1PP/2B1RR1K b - - 0 26,"['e2g3',]"
7k/1pp2rpp/p6r/4pP2/2Q1Pq2/8/PP4PP/3R3K w - - 0 33,"['d1d8',]"
r4r2/pp4k1/3p3n/2pPP2p/2P1B2q/3N1b1p/PP1Q1P1K/R5R1 b - - 2 29,"['h6g4',]"
r2q1rk1/pp2n1pp/2pp4/3NppN1/2P1Q3/3P4/PP3KPP/R1B5 w - - 0 15,"['e4h4',]"
r2q1Bk1/pppb1pp1/2n4p/3nP3/8/2P2N2/P3QPPP/R2R2K1 b - - 0 14,"['d5c3',]"
8/8/7p/p3r1p1/2PKpkP1/7P/4R3/8 w - - 3 41,"['e2f2',]"
4r2k/4P1p1/1p1p3p/p3pQ2/P3n3/7P/1P3PPK/2r5 w - - 0 30,"['f5f8',]"
r2q1rk1/pp2ppbp/6p1/n1p5/2NP1P2/3B4/PP1B2PP/R3QRK1 b - - 0 15,"['a5c4',]"
3r1rk1/pp3pp1/2p2b1p/4p3/4Pnb1/2P2NN1/PP2BP1K/R1B1R3 b - - 3 19,"['f4e2',]"
8/7p/8/5PK1/5BP1/8/2p1b3/3k4 w - - 7 55,"['f5f6',]"
5r1k/p1p4q/1p1p4/3Pp2Q/6p1/1P4P1/P4r2/2B2RK1 w - - 1 32,"['h5h7',]"
B2Qnk1r/p1p2pp1/6q1/2b5/1P3B2/2P2Np1/P3P2P/R4R1K b - - 0 19,"['g3g2',]"
5r1k/p1p3p1/7p/4p1N1/2P2q2/1P5Q/P5PP/3R2K1 b - - 0 32,"['f4f2',]"
r3qr2/2pn3k/p2p1P1b/1p4pp/3PN3/P2Q4/1PP2P2/2K4R w - - 1 23,"['e4g5',]"
8/1q4p1/6kp/3BQ3/5pP1/6b1/6K1/4n3 w - - 0 48,"['g2h3',]"
r2qk2r/p1p1bppp/1pn1pn2/2Pp1b2/3P4/P1NBPN2/1P3PPP/R1BQK2R w KQkq - 0 9,"['d3b5',]"
6rk/pp2PQp1/2p4p/8/4b2b/6qP/PP3Rn1/4B1K1 w - - 0 29,"['f7g8',]"
r5k1/2Q2ppp/8/8/3Pq2n/p3P3/P5PP/5RK1 w - - 2 38,"['c7f7',]"
8/6pp/1B1p1k2/P2P4/6PP/5p2/5P1K/r7 w - - 1 42,"['b6d4',]"
r2q1rk1/pppb1pbp/2n1pnp1/1BPpB3/3P4/4PN2/PP3PPP/RN1Q1RK1 b - - 4 9,"['c6e5',]"
rn1qkbnr/ppp1ppp1/3p3p/4N3/2B1P3/8/PPPP1PPP/RNBbK2R w KQkq - 0 5,"['c4f7',]"
r4r1k/pQp3pp/3bb1q1/6B1/2P1N1n1/5N2/PP2P1B1/R3R1K1 b - - 0 17,"['a8b8',]"
1r4k1/p3R2p/3p2pQ/3q4/3b4/3p4/PP3rPP/1RB4K w - - 0 23,"['h6h7',]"
r1bq1rk1/p4pbp/5np1/4p1B1/3pN3/8/PPPQBPPP/2R2RK1 b - - 1 14,"['f6e4',]"
1q3r1k/2p3p1/3pBb1p/p7/8/2N1P1P1/P1PQP2P/K2R3R b - - 0 19,"['b8b4',]"
r4rk1/pp3pbp/6p1/4p3/4P1bP/2NPBn1B/PP2KP2/R6R b - - 2 16,"['f3g1',]"
8/pp5p/n5pk/3RR3/P6r/8/1PP5/1K6 b - - 0 30,"['h4h1',]"
8/5Npk/p3b3/3p3p/8/6P1/1P4KP/8 w - - 2 39,"['f7g5',]"
r2q1rk1/5ppp/p3p1n1/1p2N2Q/3P4/2P5/P1B2PKP/2R2R2 b - - 0 18,"['g6f4',]"
2r5/1b3pk1/2qBp1pp/4P3/1P3P2/P7/3Q2PP/2R3K1 b - - 3 43,"['c6c1',]"
r4rk1/1bppbppp/p1q5/1p2P3/3N1Q2/1B1P4/PPP2PPP/R4RK1 b - - 0 18,"['c6g2',]"
8/2p5/3b2kp/3p2p1/P3p1KP/1P2R3/1B4P1/8 b - - 0 36,"['h6h5',]"
r6k/1K2bQp1/4P2p/1Pp5/2P5/r7/8/8 w - - 8 44,"['b5b6',]"
2r3k1/p4ppp/1p3q2/3bR3/7N/P5P1/1P3P1P/4R1K1 w - - 0 24,"['e5e8',]"
r7/2p2pk1/q4np1/3PQ3/4P3/5PPK/2R2N1P/8 b - - 0 34,"['a6f1',]"
r6k/6p1/p6r/1p1Qp3/7n/2P1qP1b/PP3R1P/3RN2K w - - 0 34,"['d5a8',]"
2r2rk1/5p1p/3p3P/p2Npbq1/1p2Q3/8/PPP5/1K1R3R w - - 2 24,"['e4f5',]"
3r1rk1/1pp2pp1/p4q2/5b2/1P1R1P2/P1N4P/5QP1/4R2K w - - 9 30,"['c3d5',]"
8/1p6/p3k3/6pp/5n2/P7/1P3K2/2R5 b - - 3 44,"['f4d3',]"
5rk1/1p4pp/4p3/Q2pPn2/8/P2B4/1P3qPP/1R5K b - - 2 26,"['f5e3',]"
r4r2/2p2pk1/p5p1/np2PB1Q/5q2/1P4R1/P4PPP/R5K1 b - - 0 28,"['f4g3',]"
8/R7/8/5k2/3r3p/6pP/6P1/6K1 b - - 5 70,"['d4d1',]"
5k2/3R4/3P2K1/6P1/1ppr4/8/8/8 w - - 0 58,"['d7d8',]"
2rq1rk1/1p3ppp/p4b2/n6b/3Pp3/P3B2P/1P1NBPP1/2RQ1RK1 b - - 1 18,"['c8c1',]"
3R4/1br2pp1/1pn1p1k1/p3P1pN/P1B3P1/1P5P/5P2/6K1 w - - 3 32,"['c4d3',]"
3r3k/5p1p/4n3/pp2N1Pp/8/3P2R1/PP4b1/6K1 w - - 0 35,"['e5f7',]"
4r2k/R7/1p6/5pPp/3P3K/4P3/PP2QPq1/2R5 b - - 0 32,"['g2h2',]"
8/R4pkp/1p1R4/8/4PP1K/2r3rP/P7/8 b - - 0 34,"['g3h3',]"
5k1r/R5p1/5n1p/1b3P1q/5B2/P2p4/6PP/4Q1K1 w - - 1 27,"['e1e7',]"
1r2q1k1/b1p2p1p/p4p2/2Pp1b2/2nP1Q2/P1N2PP1/1B4BP/5RK1 b - - 1 25,"['b8b2',]"
3Qq2k/6pp/8/2p5/P3p3/3p3P/1rr2PP1/1R3RK1 w - - 4 30,"['d8e8',]"
r3r1k1/1pp1qppp/p1nb1n2/3p3b/3N4/1P1PP2P/PBPNBPP1/R2Q1RK1 b - - 6 12,"['e7e5',]"
1Q6/p5k1/2q4p/1p4p1/4R3/2P3P1/r6P/6K1 w - - 2 37,"['e4e7',]"
r1q1r1k1/1b1pnp1p/p2Bp1p1/1p4P1/4B2P/2PQ2P1/P1P5/R4RK1 w - - 1 20,"['d3f3',]"
8/8/1p6/1P3kp1/3K3p/5P1P/5P2/8 b - - 1 34,"['f5f4',]"
6rk/3Q2bp/p2p4/5p2/Pq6/2p4P/2P5/K3R1R1 w - - 9 35,"['d7g7',]"
8/1p2qkpQ/p2p2rp/3Pp3/7P/3R4/PPr2P2/5RK1 w - - 2 27,"['d3g3',]"
8/p3n2k/3Q2pp/4pp2/2rb1P1q/8/P5PP/R4R1K w - - 0 27,"['g2g3',]"
8/6pp/2p2p2/7P/1k1K4/p7/B4P2/8 b - - 2 42,"['g7g5',]"
2kr4/ppp4p/6p1/5p2/1bPrP3/1P5P/P1B1KPP1/3R3R b - - 0 19,"['d4d2',]"
7r/p1Q4p/1p3kp1/2pq1r2/3p4/2PP4/PP3P1P/4RRK1 w - - 5 25,"['c7e7',]"
3r3k/p3Q1pp/8/8/2p2q1n/2B2p2/PP3P1P/1K4NN b - - 0 27,"['d8d1',]"
r5k1/4rp2/p2b1p2/1ppPq1N1/8/2NQ3P/PP6/5RK1 w - - 0 25,"['d3h7',]"
r3r1k1/p4ppp/2p5/3p4/3QbPP1/2N4q/PPP4N/4RRK1 b - - 0 22,"['h3g2',]"
r2q1r1k/4b1p1/p3b2p/4B1pQ/4P3/1p1p3P/P2P1P2/2KR2R1 w - - 0 23,"['h5h6',]"
5k2/8/p6K/2pp2pP/P1PpP1P1/3P4/1b6/8 w - - 0 53,"['e4d5',]"
2r2rk1/p2q2pp/1p2p3/3pP1N1/1P3n2/P3Q3/2R3PP/2R3K1 w - - 0 25,"['c2c8',]"
3k4/3r2pp/3P1p2/2PK1P2/1P6/7P/8/8 w - - 3 39,"['c5c6',]"
3r1rk1/2p2ppp/N1n1p1bq/1p5n/3P4/P1B2P2/1P2B1PP/2RQR2K b - - 0 20,"['h5g3',]"
8/8/p7/2Q5/k1K5/8/8/7q w - - 2 53,"['c5b4',]"
8/5p2/3k3p/p2Pp1pP/2p3P1/5K2/PP3P2/8 w - - 3 46,"['f3e4',]"
8/8/2n1R1pp/pp6/1k6/1P1P3P/P3KP2/8 b - - 7 50,"['c6d4',]"
r3r1k1/3b1p2/pp1q2pp/8/4B3/1NP3PP/PP5K/RQB5 b - - 0 32,"['d6e7',]"
r4rk1/p1p1bppp/2pp1q2/8/8/1P2B1P1/P1PQ1P1P/3RR1K1 w - - 1 17,"['e3d4',]"
8/R1R2ppk/3qp1bp/pB6/P7/4P1QP/6PK/3r4 b - - 12 34,"['d1h1',]"
8/p1q3k1/6r1/3pp1R1/7Q/7P/P5PK/8 b - - 7 54,"['e5e4',]"
8/p1P5/3p2k1/P1Pq1p1p/1P3Q1P/6P1/5R1K/1r6 b - - 4 45,"['b1h1',]"
r1b2k1r/ppp2ppp/1n1q4/1B1PQ1B1/8/2P5/P4PPP/R3K2R w KQ - 3 16,"['e5e8',]"
5r1k/p5pp/8/6N1/2Q5/8/Pq3P1P/1b3RK1 w - - 4 31,"['g5f7',]"
8/pQ3pkp/4r3/2BNb1p1/8/1R4q1/P5P1/5K2 b - - 2 34,"['g3g4',]"
5r1k/6p1/2BR3p/1Nn5/p7/P4PPn/1P2r2P/3R3K b - - 2 33,"['h3f2',]"
1Q2r1k1/Q3pq2/3p2r1/3N4/4P3/8/P4p1P/1R3R1K b - - 0 30,"['f7f3',]"
4r2k/ppp5/6p1/3BB1Np/5r2/3P4/PPP1K3/R7 b - - 0 29,"['e8e5',]"
8/8/p7/5p1P/4pk2/8/6P1/3K4 w - - 1 43,"['h5h6',]"
8/2Q5/6p1/p5k1/P4pB1/1P4qP/3r2P1/7K w - - 7 54,"['c7a5',]"
3r2nr/p1p2pp1/Qp3k1p/2b3q1/8/2N5/PP3PPP/R3R1K1 w - - 2 21,"['c3e4',]"
1N4k1/7p/PR1n2r1/1b6/1P3R2/3N3r/1P4P1/6K1 b - - 0 45,"['h3d3',]"
8/8/2p2k2/1p1r1p2/p2R2pP/P1P3P1/5PK1/8 w - - 3 48,"['d4d5',]"
3qr1k1/1b2bp1p/p3p1pQ/4P3/1p2N3/8/PPr2PPP/2R2RK1 w - - 0 23,"['e4f6',]"
r2q1rk1/ppp1bppp/3p2b1/8/2Ppn1PN/P2P3P/1P2BP2/RN1Q1RK1 w - - 0 13,"['h4g6',]"
8/ppp1kpp1/3b2np/3p3b/3P1B2/2P4P/PPBN1PP1/5K2 w - - 1 24,"['f4d6',]"
5R2/1pQ3pk/1p1p3p/4q3/3pP3/3P3P/1PP2KP1/r7 b - - 2 23,"['e5g5',]"
r3r1k1/pp5p/2pq2p1/3nNQ1b/3P4/4pP1P/PP2P1B1/1K1R3R w - - 0 20,"['f5f7',]"
6k1/1b4pp/4p3/1qrpPp2/1P6/4PNP1/1Q5P/R5K1 w - - 0 25,"['a1a5',]"
6k1/1p3p2/2p1bQPq/p3Pp2/2P5/1P6/5PK1/8 w - - 1 54,"['g6f7',]"
1Qrk3r/5p2/4p3/3pP2q/6p1/3B2P1/2P4n/5R1K w - - 3 36,"['b8d6',]"
r2qr1k1/pbp2ppp/1p3n2/8/3nN3/5NP1/PP2QPBP/R3R1K1 w - - 0 14,"['e4f6',]"
5r1k/p1qR2pp/b1p2b2/2p1Np2/2P1P3/5P2/PQ4PP/1R4K1 b - - 2 25,"['c7e5',]"
6k1/5p1p/Q3p3/1p3q2/7P/P5P1/3r1P2/4R1K1 w - - 1 38,"['a6c8',]"
3rr3/5pk1/4qnp1/p2p4/3Q4/P1P5/2B2R1P/3R3K w - - 1 30,"['d1f1',]"
5rk1/pp1nrppp/2p5/q6n/2pP4/1P2PR1P/P1QN2P1/1N2R1K1 w - - 0 23,"['f3f5',]"
8/1R5R/5bk1/8/1r5P/4r1PK/8/8 w - - 0 44,"['h4h5',]"
r2q1rk1/p1p2pp1/2pp1n1p/2b5/4P1bB/2NB4/PPP2PPP/R2Q1RK1 w - - 2 11,"['h4f6',]"
r2k3r/1bpp1Qpn/p1n1P2p/1pb5/3N3q/1B5P/PPP2PP1/RNB1R1K1 b - - 0 14,"['c6e7',]"
2r2rk1/pR1n1pp1/2p4p/2P5/2qPQ2B/4P3/5PPP/R5K1 b - - 0 23,"['d7c5',]"
5rk1/n2P3p/1p2p1pQ/pP6/q3p1p1/8/5PPP/5RK1 w - - 0 35,"['h6f8',]"
2r5/p3kp2/1n1bpNp1/1PRp2P1/3P1P2/B1PK4/8/8 b - - 2 45,"['d6c5',]"
2R2b2/5k1p/6p1/3p1p2/1r1Bp3/4P1P1/5PKP/8 w - - 2 37,"['c8f8',]"
1k1r1r2/2p5/pp3p2/3qn2p/B4np1/1RQ2N2/PP3B2/5R1K w - - 0 36,"['f2b6',]"
Q4rk1/5ppp/4p3/1q1p4/8/8/P5PP/1R5K w - - 0 24,"['a8f8',]"
8/7p/1pk3p1/p2p1pP1/P4P1P/1PPK4/8/8 w - - 1 33,"['d3d4',]"
3r1rk1/4q1p1/p1np3p/1p3p2/2b1p3/1B5N/P1PQ1PPP/R2R2K1 w - - 2 21,"['b3c4',]"
8/7k/6p1/R6p/P2b4/1b3P1P/6P1/5K2 b - - 3 37,"['b3c4',]"
7k/p5q1/1pP5/5Q1p/8/P5P1/6KP/3r4 w - - 8 54,"['f5h5',]"
8/8/8/p1k4p/P1p4P/2K2P2/8/8 w - - 1 40,"['f3f4',]"
r3r3/2p2pkp/p1p3pb/8/1PPp1P1q/PN1P4/3QPP1P/1R3R1K b - - 2 19,"['h6f4',]"
2kr3r/1bpp1ppp/1b4q1/p3Pn2/PpN5/1BPP1P2/3BQ1PP/R4R1K b - - 0 18,"['f5g3',]"
r2qrk2/pb2b3/1p2Q1p1/6Bn/2Pp4/8/PP3PPP/3RR1K1 w - - 1 21,"['g5h6',]"
6r1/p1qk4/QbN5/3p1p2/8/4P1P1/P7/1R2R1K1 b - - 0 32,"['c7g3',]"
2rr4/5pkp/2R1p1p1/1b6/p3P3/P3Q3/BP3PPP/6K1 b - - 0 28,"['d8d1',]"
r7/5pp1/1Pk1p2p/2P5/3Pn3/PR2P3/6PP/5K2 b - - 4 33,"['e4d2',]"
8/3r3p/ppp1b2R/2p1k3/5pP1/P1PPnP1P/1P2RK2/8 w - - 5 41,"['e2e3',]"
r2qk2r/3pppb1/p4npp/1p6/3p3B/3P1Q2/PPP2PPP/R3RBK1 w kq - 2 15,"['h4f6',]"
3r1rk1/ppp1qpp1/1nn1b2p/2b1p3/4N3/2PQ1N1P/PPB2PP1/R1B2RK1 w - - 8 15,"['e4f6',]"
6k1/8/2P3rp/1p1pp3/1P1N4/2P2Pn1/1P4P1/1K3n2 w - - 0 36,"['c6c7',]"
r3kb1r/pp1qp1p1/2npNp2/8/4Q2p/6P1/PPP1PPKP/R1B2R2 w kq - 0 14,"['e4g6',]"
7k/8/8/2prp3/1p2Nnp1/1P4P1/P4R1P/7K b - - 0 40,"['d5d1',]"
r4rk1/3b2pp/8/p3QB2/1pqP4/8/PP4PP/4RRK1 b - - 0 22,"['a8e8',]"
r4rk1/pp3ppp/2p2q2/3p4/4n3/1P1BQN2/2K2PPP/3R3R b - - 3 18,"['f6c3',]"
3r2k1/6pp/p7/4Bb2/5N2/3R1P2/PPr3PP/3K3R b - - 3 25,"['f5d3',]"
r1b2rk1/ppb1qp2/2p3p1/3P1p1p/2N1nN1P/PB2PQ2/1P3PP1/2KR3R w - - 1 17,"['d5d6',]"
3nrr1k/1ppR2p1/p6p/6NQ/2B2p1P/1P6/P1PK1PP1/7q w - - 0 23,"['h5h6',]"
3Q4/p3Nppk/1p2qb1p/2p5/2P1p3/4P2P/PP3PP1/6K1 w - - 14 36,"['d8g8',]"
8/8/2p3k1/1p1p1p1P/p1nP3P/P1PK1P2/8/2B5 b - - 0 36,"['g6h5',]"
r2qkb1r/pp1bpppp/8/1Np5/Q1P5/8/PP1P1PPP/R1B1R1K1 w kq - 0 14,"['b5d6',]"
r2qr1k1/pp3ppp/2pb1nb1/3p4/3P2PN/2PBB2P/PPQN1n2/2KR3R w - - 0 15,"['e3f2',]"
2kr1nQ1/ppp2p2/2n1pq2/3p4/2PP4/4P3/PP1N1PPP/R4RK1 b - - 0 15,"['f8g6',]"
2r4k/pb4pp/1p6/3pP3/3Pn3/2Pq2NQ/PP5P/5R1K w - - 0 24,"['h3c8',]"
r6k/1b2q1p1/p3B2p/np4N1/7Q/2P5/P1P3PP/5R1K b - - 0 23,"['e7g5',]"
r2r4/ppp2kp1/2P3bp/2P1p3/6P1/2P1KNnP/P7/RNB4R b - - 2 17,"['d8d3',]"
2rr2k1/1p3pp1/p4q1p/8/1P2P3/P2B4/6Q1/R4R1K b - - 2 31,"['f6h4',]"
2kr1b1r/pbp5/1pn1q2p/3p1pp1/3P4/P1P1BQ1B/1P3P1P/R3K1R1 w Q - 0 19,"['h3f5',]"
1r2qrk1/7p/3pp2P/1np2pPN/1pN2P2/pP1P1Q2/n1P2B1K/5R2 w - - 0 30,"['h5f6',]"
8/8/5k2/6p1/3rK1P1/5P2/8/8 w - - 0 69,"['e4d4',]"
1Q2n1kr/B4ppp/q7/bb6/4p3/2P1P3/P3NPPP/RN2K2R b KQ - 0 21,"['a5c7',]"
Q4nk1/1P4p1/8/3P4/4pp1P/5b2/B4B2/4K2q w - - 7 52,"['e1d2',]"
8/6k1/R7/P1r1p3/4P3/KP1qB3/1P3P2/8 w - - 1 38,"['a6a7',]"
r1b2bkN/ppp3p1/3pPq1p/4n3/3Q4/8/PPP2PPP/RNB1K2R b KQ - 0 12,"['e5f3',]"
r2qkb1r/pb1p3p/1p1Ppnp1/1Np1N3/2P5/8/PP3PPP/R2QKB1R w KQkq - 0 13,"['b5c7',]"
4k3/7r/p1PPK3/4P2p/8/1p6/7P/8 w - - 0 52,"['d6d7',]"
r3kr2/ppp4p/3qpQp1/5n2/4R3/2P1P2P/P4PP1/5RK1 w q - 10 23,"['e4e6',]"
1k1n1r2/p4N2/1p2qQ2/2p1P3/2Pp2P1/1P6/P7/1K3R2 b - - 4 39,"['e6f6',]"
5rk1/p2b3p/qp1Q1pp1/3N3n/4P3/5P2/P5PP/1RN4K b - - 0 28,"['a6f1',]"
r3n2k/2q1b2p/3p2p1/2n2N2/2B1P3/8/1Pp2B2/1NKR3R w - - 2 30,"['h1h7',]"
r1b2rk1/pp2Bp2/2p3pp/3p1p2/3b4/2q5/P4PPP/R2QRBK1 w - - 0 20,"['a1c1',]"
4r2r/p1p2kp1/2p2p2/2Qb4/8/2B3Nq/PPP2R1P/5RK1 b - - 11 30,"['h3g3',]"
3qr1k1/1b3pp1/p2p1b2/1p6/1P2PB2/P1pP1PQ1/B5PP/4R1K1 b - - 1 21,"['f6h4',]"
r1bq2k1/pppp1pp1/5n1p/3N4/2P1r2B/3Q4/PP3PPP/R3K2R w KQ - 0 14,"['d3e4',]"
3k3r/ppNb4/3B1p2/6pp/2B1P1n1/3P2KP/PPn3P1/7R b - - 0 19,"['h5h4',]"
r7/2P4p/3K2p1/3p1p2/pP5P/Rbk1P1P1/8/8 w - - 1 52,"['b4b5',]"
3r2k1/1B3n1p/6p1/2P2p2/1P6/2Q1P3/2P2PPP/6K1 b - - 0 31,"['d8d1',]"
r4q1k/3n1P1p/p3r1p1/1pp5/3pbQN1/8/PPP2PPP/3RR1K1 w - - 0 25,"['e1e4',]"
3q4/Q1R5/1p2pk1p/1P1p4/2pP4/4P3/7r/4K3 w - - 1 47,"['c7f7',]"
r4Bk1/p4ppp/Q7/3pb3/3Np2q/P3P3/4BPK1/1RR5 b - - 0 26,"['h4h2',]"
r1b2rk1/pp2bppp/1q2pn2/3pN3/3n1P2/3BP3/PP1N2PP/R1BQ1RK1 w - - 0 11,"['e3d4',]"
r4rk1/pp3ppp/8/2P1q3/1QNn4/1P2p3/b1P2PPP/2KR1B1R b - - 1 17,"['d4e2',]"
2r5/p4kp1/8/1pP1r3/4N2P/1P2KP2/P7/6R1 w - - 1 39,"['e3d4',]"
3r4/1p5p/2kb3R/p4NP1/Prp2P2/K3P3/1P6/3R4 b - - 0 34,"['b4a4',]"
r4rk1/1ppb1pNp/7P/3P4/2PBq1p1/6b1/3Q2P1/2R2K1R w - - 0 29,"['g7h5',]"
3r2k1/pp3Q2/6p1/2q1p3/3b2b1/4B3/P5PP/1RR3K1 b - - 0 24,"['g8f7',]"
r2q1rk1/pbp2ppp/1p1bpn2/3pn3/3P4/2P1P1B1/PP1NBPPP/R2QK2R w KQ - 0 10,"['d4e5',]"
6k1/2p2pp1/4p1np/1R6/3Pb3/2P3B1/5PPP/r3N1K1 b - - 2 24,"['a1e1',]"
5r1k/p2q2pb/3p4/2r1NPp1/P1p1Q3/2P3PP/5RK1/3R4 b - - 0 31,"['d7e8',]"
8/8/4pk2/p1p4p/Pp1pKP2/1P1P3P/2P5/8 b - - 0 38,"['h5h4',]"
5r1k/1p4pp/p5r1/3P4/3Bb2b/2Q5/PP4PP/4RB1K b - - 12 27,"['f8f1',]"
r2q1k1r/4ppbp/1p1p1np1/3P4/2b5/5N2/1P1N1PPP/R1B1QRK1 w - - 0 17,"['a1a8',]"
2r3k1/6pp/2b5/3R4/3P4/2R1P1BP/5P1K/1r6 b - - 4 34,"['b1h1',]"
5r2/p1q3k1/b1pn1r1p/3p2pQ/3N2P1/1B2R2P/PPP5/3R2K1 w - - 4 30,"['d4e6',]"
r2q1rk1/ppp2ppp/3p4/2b1n3/3PPQ2/1BP4P/PP3PP1/R3KN1R b KQ - 0 13,"['e5d3',]"
5qQk/pbb5/1p2Bn2/2p1p3/4P3/8/PPPN1P2/6RK b - - 4 40,"['f6g8',]"
1r2k2r/p2n1ppp/q1Bp4/2p5/4P3/8/Pb2NPPP/1R1Q1K1R w k - 0 16,"['d1d6',]"
8/p2r3p/4k3/8/4P3/3p2P1/PP3K1P/3B4 w - - 4 33,"['d1g4',]"
2k5/pb6/1pn1r3/2p4q/2B5/2PP2Q1/PP3PP1/6K1 w - - 0 37,"['c4e6',]"
3r1rk1/2p1q1p1/p7/Q2Rp2b/7P/2N1P1B1/PP3P2/2K5 w - - 2 25,"['d5e5',]"
r4rk1/pb3pbp/2q1p1p1/8/N2p1B2/1P1B4/P1P2KPP/1R1QR3 b - - 0 18,"['c6g2',]"
3bB1k1/1q1P1p1p/6p1/p3B3/Pp2n3/2r2Q1P/5PP1/3RR1K1 b - - 2 33,"['c3f3',]"
r3kb1r/1p4p1/p1p1bp2/4p1Bp/4P3/2NQ1PP1/PPP2qBP/R6K w kq - 0 17,"['g5e3',]"
2r3k1/2P2pp1/6r1/3p2qp/3N2b1/1R2P3/3Q1PPP/2R4K b - - 2 28,"['g4f3',]"
r2qk2r/pp2nppp/2nP4/8/1P1p1B2/P4b1P/4PPP1/R2QKB1R w KQkq - 0 16,"['d6e7',]"
1Rb2rk1/6p1/p2p2p1/B2P2P1/2Pp4/P6P/4BbK1/8 b - - 4 35,"['c8h3',]"
4r1k1/ppR2ppp/8/4r3/8/2P2Q2/PPq2PPP/R4K2 b - - 4 23,"['e5f5',]"
8/8/2p3p1/p6p/Pk2Pp1P/3K1P2/8/8 w - - 2 42,"['e4e5',]"
r5k1/4p3/p2qN1p1/1p1Pb2p/1Pp3b1/Q1N3P1/P4rBP/4R2K w - - 4 31,"['c3e4',]"
2k4r/ppp3r1/5B2/4b3/1P2N1P1/P2P1p2/2P1n2P/5R1K w - - 0 32,"['f6e5',]"
1Q6/7k/1P6/3q1p2/6p1/8/6PK/8 w - - 0 43,"['b8c7',]"
r5k1/pp4pp/4b2r/2B1qpQ1/8/4PP2/P4KP1/R1R5 w - - 2 29,"['c5d4',]"
r2Q1b1N/6pp/p1kn2q1/2pp4/5B2/2P2NP1/PP5P/R2K4 b - - 0 23,"['g6d3',]"
2kr3r/ppp2ppp/2nbp3/6B1/P2P2n1/2N2N1q/1PP2P2/R2QRBK1 b - - 3 14,"['d6h2',]"
3rr1k1/pn3pp1/2pq3p/7n/B7/1PQ1BP1P/P1P2P2/RN3R1K b - - 12 25,"['h5g3',]"
2kr2nr/ppp2ppp/3pb3/q7/7Q/PBNnB2P/1PP3P1/R4K1R w - - 0 16,"['b3e6',]"
r1b2rk1/pp3ppp/5n2/1N1p4/B7/7P/q4PP1/2RQR1K1 w - - 0 19,"['e1e2',]"
r3kb1r/pB1b1ppp/1p1Bp1n1/3pn3/QP6/2P2N2/P4PPP/RN3RK1 b kq - 0 15,"['e5f3',]"
1rr3k1/5p2/3p2p1/3PP3/1p5R/2p2P2/2Q3PP/6K1 b - - 1 32,"['b4b3',]"
2r5/1Qpq1k1p/1p1p2p1/4pn2/8/4N2P/P1Pr1PP1/R4RK1 w - - 12 28,"['e3c4',]"
1k6/8/1pq2Q1p/2r1p1p1/6P1/8/5PPK/1R6 w - - 1 39,"['b1b6',]"
6k1/7r/6p1/5p2/1P1R1P2/8/3K4/8 w - - 1 48,"['d4d8',]"
1r5k/p4q1p/2Q2p2/4pN2/Pr2P3/1P1n3P/K1P2P2/1R5R b - - 6 27,"['b4b3',]"
7r/2Q2pk1/2p5/1p1p2P1/3P4/PP2P1Pq/3R4/2R3K1 b - - 2 34,"['h3h1',]"
4R3/r1pk1p2/1pbp4/6qp/3N4/7P/PPP5/1K2R3 w - - 0 33,"['e1e7',]"
5rk1/2p3n1/3p3p/pPp5/P1q2RQ1/8/6PP/5R1K b - - 0 33,"['c4f1',]"
3q2k1/1N3pp1/4p2p/2b1P3/p1p1P3/2B4P/1Q3PP1/6K1 b - - 1 38,"['d8d1',]"
3r2rk/1p2qpp1/p2pbR1p/8/8/3B4/PPPQ1PPP/3R2K1 w - - 2 25,"['f6h6',]"
2r1k2r/1b1q2bp/p5p1/2p1PnB1/2QPN3/8/PP4PP/R4RK1 w k - 2 21,"['e4d6',]"
1qkr3r/pp1b2p1/5p2/3Pn2p/2PQ1B2/P2B2P1/5P1P/1R3RK1 b - - 0 21,"['e5f3',]"
r3kb1r/ppqn1ppp/2p1p1b1/3p4/2PPN3/1P1BPN2/PB3PPP/R2Q1RK1 b kq - 0 10,"['d5e4',]"
r2bk1r1/3q1p1b/1np1pp1p/p3P2P/p1PPN3/1P3Q2/5PP1/R1B2RK1 w q - 4 26,"['e4d6',]"
4r1k1/pppq2b1/2bp1Npp/5p2/2P4N/7P/PP1BQPP1/4R1K1 b - - 1 24,"['g7f6',]"
